rap;pt;zed;jetpt;jetrap;cent;Model_CtauRes_PP;ctauResCut;
0.0-1.6;6.5-50.0;0.0-1.0;20.0-50.0;0.0-2.1;0-100;DoubleGaussianResolution;;
0.0-1.6;6.5-50.0;0.0-0.1;20.0-50.0;0.0-2.1;0-100;DoubleGaussianResolution;;
0.0-1.6;6.5-50.0;0.1-0.2;20.0-50.0;0.0-2.1;0-100;DoubleGaussianResolution;;
0.0-1.6;6.5-50.0;0.2-0.3;20.0-50.0;0.0-2.1;0-100;DoubleGaussianResolution;;
0.0-1.6;6.5-50.0;0.3-0.4;20.0-50.0;0.0-2.1;0-100;DoubleGaussianResolution;;
0.0-1.6;6.5-50.0;0.4-0.5;20.0-50.0;0.0-2.1;0-100;DoubleGaussianResolution;;
0.0-1.6;6.5-50.0;0.5-0.6;20.0-50.0;0.0-2.1;0-100;DoubleGaussianResolution;;
0.0-1.6;6.5-50.0;0.6-0.7;20.0-50.0;0.0-2.1;0-100;DoubleGaussianResolution;;
0.0-1.6;6.5-50.0;0.7-0.8;20.0-50.0;0.0-2.1;0-100;DoubleGaussianResolution;;
0.0-1.6;6.5-50.0;0.8-0.9;20.0-50.0;0.0-2.1;0-100;DoubleGaussianResolution;;
0.0-1.6;6.5-50.0;0.9-1.0;20.0-50.0;0.0-2.1;0-100;DoubleGaussianResolution;;
