rap;pt;zed;jetpt;jetrap;cent;Model_Jpsi_PP;N_Jpsi_PP;m_Jpsi_PP;sigma1_Jpsi_PP;rSigma21_Jpsi_PP;alpha_Jpsi_PP;n_Jpsi_PP;f_Jpsi_PP
0.0-1.6;6.5-35.0;0.40-1.00;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.035,0.02,0.04];[1.50,1.0,3.5];[1.958];[1.158];[0.8,0.5,1.0]
0.0-1.6;6.5-35.0;0.40-1.00;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.035,0.02,0.04];[1.50,1.0,3.5];[1.958];[1.158];[0.8,0.5,1.0]
0.0-1.6;6.5-35.0;0.40-1.00;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.035,0.02,0.04];[1.50,1.0,3.5];[1.958];[1.158];[0.8,0.5,1.0]
0.0-1.6;6.5-35.0;0.40-1.00;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.035,0.02,0.04];[1.50,1.0,3.5];[1.958];[1.158];[0.8,0.5,1.0]
0.0-1.6;6.5-35.0;0.40-1.00;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.035,0.02,0.04];[1.50,1.0,3.5];[1.958];[1.158];[0.8,0.5,1.0]
0.0-1.6;6.5-35.0;0.40-1.00;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.035,0.02,0.04];[1.50,1.0,3.5];[1.958];[1.158];[0.8,0.5,1.0]
0.0-1.6;6.5-35.0;0.40-1.00;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.035,0.02,0.04];[1.50,1.0,3.5];[1.958];[1.158];[0.8,0.5,1.0]
0.0-1.6;6.5-35.0;0.40-0.60;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.015,0.00,0.05];[2.25,0.0,5.0];[1.958];[1.109];[0.2,0.0,1.0]
0.0-1.6;6.5-35.0;0.40-0.60;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.015,0.00,0.05];[2.25,0.0,5.0];[1.958];[1.109];[0.2,0.0,1.0]
0.0-1.6;6.5-35.0;0.40-0.60;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.015,0.00,0.05];[2.25,0.0,5.0];[1.958];[1.109];[0.2,0.0,1.0]
0.0-1.6;6.5-35.0;0.40-0.60;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.015,0.00,0.05];[2.25,0.0,5.0];[1.958];[1.109];[0.2,0.0,1.0]
0.0-1.6;6.5-35.0;0.40-0.60;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.015,0.00,0.05];[2.25,0.0,5.0];[1.958];[1.109];[0.2,0.0,1.0]
0.0-1.6;6.5-35.0;0.40-0.60;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.015,0.00,0.05];[2.25,0.0,5.0];[1.958];[1.109];[0.2,0.0,1.0]
0.0-1.6;6.5-35.0;0.40-0.60;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.015,0.00,0.05];[2.25,0.0,5.0];[1.958];[1.109];[0.2,0.0,1.0]
0.0-1.6;6.5-35.0;0.60-0.80;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.05];[1.89,1.0,3.0];[1.958];[1.204];[0.5,0.2,1.0]
0.0-1.6;6.5-35.0;0.60-0.80;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.05];[1.89,1.0,3.0];[1.958];[1.204];[0.5,0.2,1.0]
0.0-1.6;6.5-35.0;0.60-0.80;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.05];[1.89,1.0,3.0];[1.958];[1.204];[0.5,0.2,1.0]
0.0-1.6;6.5-35.0;0.60-0.80;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.05];[1.89,1.0,3.0];[1.958];[1.204];[0.5,0.2,1.0]
0.0-1.6;6.5-35.0;0.60-0.80;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.05];[1.89,1.0,3.0];[1.958];[1.204];[0.5,0.2,1.0]
0.0-1.6;6.5-35.0;0.60-0.80;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.05];[1.89,1.0,3.0];[1.958];[1.204];[0.5,0.2,1.0]
0.0-1.6;6.5-35.0;0.60-0.80;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.05];[1.89,1.0,3.0];[1.958];[1.204];[0.5,0.2,1.0]
0.0-1.6;6.5-35.0;0.80-1.00;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.04];[1.89,1.0,3.0];[1.958];[1.487];[0.5,0.2,1.0]
0.0-1.6;6.5-35.0;0.80-1.00;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.04];[1.89,1.0,3.0];[1.958];[1.487];[0.5,0.2,1.0]
0.0-1.6;6.5-35.0;0.80-1.00;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.04];[1.89,1.0,3.0];[1.958];[1.487];[0.5,0.2,1.0]
0.0-1.6;6.5-35.0;0.80-1.00;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.04];[1.89,1.0,3.0];[1.958];[1.487];[0.5,0.2,1.0]
0.0-1.6;6.5-35.0;0.80-1.00;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.04];[1.89,1.0,3.0];[1.958];[1.487];[0.5,0.2,1.0]
0.0-1.6;6.5-35.0;0.80-1.00;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.04];[1.89,1.0,3.0];[1.958];[1.487];[0.5,0.2,1.0]
0.0-1.6;6.5-35.0;0.80-1.00;25.0-35.0;0.0-2.4;0-100;GaussianAndCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.04];[1.89,1.0,3.0];[1.958];[1.487];[0.5,0.2,1.0]
